epoch,lr,train_loss,train_lung_loss,train_inf_loss,train_cls_loss,train_lung_dice,train_inf_dice,train_acc,val_loss,val_lung_loss,val_inf_loss,val_cls_loss,val_lung_dice,val_inf_dice,val_acc
1,1e-05,0.9633402551382388,0.09656101295748494,0.5574654518116945,1.0310459248881483,0.9053719543208381,0.05654841087505881,0.6754291845493562,0.5387679524406618,0.05205137424298331,0.3127694634296144,0.5798236922575877,0.9618588930521256,0.07881902614689286,0.7628755364806867
2,9.97534852915723e-06,0.6335709373650571,0.04625453522964481,0.4448053984167372,0.4750366595457808,0.9643995264313252,0.49741412419887465,0.818401287553648,0.38938503611821645,0.042760927182359576,0.22751148116405442,0.39704207560190785,0.9662655271016635,0.632161065568356,0.8551502145922747
3,9.901664203302126e-06,0.48070382111912313,0.043144398520784576,0.32204178227985675,0.3850587855688748,0.9666512242714222,0.6303398924472027,0.8631974248927039,0.3372816148455084,0.047172020197424114,0.16191786545247727,0.4273057496573171,0.9637665157644157,0.6417298143721574,0.8197424892703863
4,9.779754323328192e-06,0.381559493372684,0.044721477908829764,0.2245377714757322,0.37433413032426344,0.9654894315122023,0.6733118444622694,0.8591738197424893,0.2716905160877334,0.04239467149361586,0.116750947541905,0.37514964137703943,0.9665415923819582,0.6617529710041896,0.8776824034334764
5,9.610954559391703e-06,0.3264357611898535,0.04242596639791911,0.17913694849951464,0.34957614000247145,0.9669720050858838,0.7061336662122207,0.8736587982832618,0.2654089130381975,0.04286568555344119,0.105542596634991,0.39000208949686116,0.9664615560800601,0.7273215975254163,0.8530042918454935
6,9.397114317029975e-06,0.2841239040814592,0.04072259381301541,0.1604085136561879,0.2766426443422109,0.9684527018806965,0.7191042587453204,0.9042381974248928,0.23580770635506043,0.041043461268592596,0.11197943623271521,0.27594935187162495,0.9673981824491777,0.6627717640562507,0.9098712446351931
7,9.140576474687265e-06,0.2490851617190307,0.03866145185039023,0.1473367316708231,0.21028991893349544,0.9697999505270193,0.731965881206501,0.9334763948497854,0.23944015752895753,0.0406115517561507,0.08884209761114945,0.3666216774055591,0.9677457386611873,0.7337454253118915,0.8701716738197425
8,8.844151714648276e-06,0.2351962788914799,0.038217016551723555,0.14290336229420114,0.18025299318358623,0.9700142911319569,0.7425746093268677,0.9409871244635193,0.2303329449808059,0.04056304857994501,0.0923255106012736,0.32481460698331016,0.9678773559056796,0.7488781079983308,0.8851931330472103
9,8.511087728614863e-06,0.21089558750797094,0.037388118755376135,0.13128908283379342,0.1407279478797745,0.9706813617581461,0.751888373733048,0.9594957081545065,0.2161049730782765,0.04034946474413841,0.09267070405558639,0.27694933785873854,0.9678309142080128,0.7326402673250164,0.9109442060085837
10,8.14503363531613e-06,0.19733515065222648,0.03643873100900471,0.12477377055655857,0.12040882549636353,0.971316123852914,0.7618738218405214,0.9645922746781116,0.20153222863248052,0.03950309519393322,0.08948043770606608,0.24182897912831897,0.9684417736835969,0.7556412352407411,0.9216738197424893
11,7.75e-06,0.1947887849103764,0.03612302466747331,0.12302988360521146,0.1187862507207519,0.9715126465062727,0.7663482339096692,0.9645922746781116,0.1972589810308046,0.03922966203819483,0.08817174118537958,0.2328585856156344,0.968646565054217,0.7418693216276369,0.9281115879828327
12,7.3303148938411025e-06,0.17332288290099584,0.03531882874747586,0.11026567213244695,0.09246126977554942,0.9721043560126309,0.7842241739496743,0.976931330472103,0.20639167223148377,0.03918110917553178,0.08811626845205386,0.26364763976974237,0.9685004108991379,0.7300865565756532,0.9173819742489271
13,6.8905764746872645e-06,0.16834097373148946,0.03500975701206488,0.11008579295751661,0.07748474286021785,0.9723981831206784,0.7871920983429006,0.9814914163090128,0.21641198094885325,0.03987315280410724,0.08664671599227018,0.29964036161366564,0.9681924795493101,0.7355401626625823,0.9152360515021459
14,6.4356026086799176e-06,0.14931472290316875,0.03410413003498648,0.09646673892731204,0.0624795107494704,0.9730676293628922,0.8101639138166371,0.9863197424892703,0.21540717528277342,0.03943037011652675,0.08964283072059402,0.2877799009816705,0.9686053145645012,0.7286972824969444,0.9173819742489271
15,5.970378084704442e-06,0.13557348186088583,0.03328878235855327,0.08864140236861516,0.0454776553295217,0.9736234905126269,0.8210589986091781,0.9935622317596566,0.22758295345222918,0.0395567610891711,0.09620623735288401,0.3060665066447507,0.9682941528467032,0.7007909985765682,0.9130901287553648
16,5.5000000000000016e-06,0.12634972412934653,0.03277293818926862,0.08190446674224254,0.03890772891288839,0.9739592959185015,0.8297498973469385,0.9949034334763949,0.21872511831046162,0.03929684538012131,0.08977118570307441,0.29885694313730693,0.9685993102880625,0.7279343028537404,0.9098712446351931
17,5.02962191529556e-06,0.12606346548285627,0.032635819534631245,0.07993921550395491,0.04496143308424195,0.9741306912489716,0.8365675830035263,0.9916845493562232,0.2400538073965179,0.0391111699386667,0.09285988271243245,0.36027583768432087,0.9688512820463914,0.7453943366824866,0.8894849785407726
18,4.564397391320083e-06,0.11644994694772987,0.03195041196636632,0.07445182300140697,0.03349237199303146,0.9746620951803968,0.8490258228681935,0.9946351931330472,0.2249153776470503,0.03954362681406176,0.09110685211416027,0.31421631512144566,0.9686263865894742,0.7547091269699691,0.9184549356223176
