epoch,lr,train_loss,val_loss,lung_Dice,lung_IoU
1,0.001000,0.7023,0.3429,0.8002,0.7258
2,0.000970,0.2179,0.1763,0.8586,0.8149
3,0.000883,0.1694,0.1304,0.8994,0.8592
4,0.000750,0.1502,0.1253,0.8993,0.8629
5,0.000587,0.1381,0.1115,0.9129,0.8824
6,0.000414,0.1299,0.0973,0.9218,0.8943
7,0.000250,0.1247,0.0943,0.9252,0.8983
8,0.000117,0.1175,0.0883,0.9320,0.9054
9,0.000030,0.1135,0.0857,0.9345,0.9084
10,0.000000,0.1101,0.0865,0.9341,0.9081
