epoch,lr,train_loss,val_loss,accuracy,precision,recall,f1,auc_roc
1,0.000265,0.6652,0.8663,0.3827,0.1208,0.9227,0.2137,0.8055
2,0.000753,0.6372,0.4959,0.7951,0.2679,0.7238,0.3910,0.8369
3,0.001000,0.5957,0.6621,0.6755,0.1992,0.8508,0.3229,0.8776
4,0.000997,0.4954,0.3131,0.9307,0.6807,0.4475,0.5400,0.8691
5,0.000987,0.4773,0.5283,0.7619,0.2663,0.9227,0.4134,0.9279
6,0.000970,0.4247,0.2311,0.9412,0.6684,0.7017,0.6846,0.9268
7,0.000947,0.3837,0.3485,0.8810,0.4278,0.9171,0.5835,0.9549
8,0.000918,0.3551,0.2240,0.9458,0.6698,0.7956,0.7273,0.9534
9,0.000883,0.3117,0.4030,0.8453,0.3634,0.9337,0.5232,0.9534
10,0.000843,0.3472,0.1802,0.9523,0.7500,0.7127,0.7309,0.9522
11,0.000799,0.2990,0.4201,0.8398,0.3568,0.9503,0.5189,0.9587
12,0.000750,0.2619,0.2060,0.9347,0.5962,0.8729,0.7085,0.9566
13,0.000698,0.2591,0.2075,0.9397,0.6109,0.9282,0.7368,0.9732
14,0.000643,0.2337,0.1720,0.9483,0.6667,0.8619,0.7518,0.9667
15,0.000587,0.2079,0.1676,0.9448,0.6320,0.9392,0.7556,0.9744
16,0.000529,0.2101,0.2089,0.9307,0.5729,0.9337,0.7101,0.9736
17,0.000471,0.2111,0.1258,0.9573,0.7182,0.8729,0.7880,0.9724
18,0.000413,0.1971,0.2631,0.9016,0.4791,0.9503,0.6370,0.9759
19,0.000357,0.2031,0.1469,0.9608,0.7269,0.9116,0.8088,0.9757
20,0.000302,0.1783,0.1243,0.9643,0.7546,0.9006,0.8212,0.9777
21,0.000250,0.1785,0.1042,0.9749,0.8659,0.8564,0.8611,0.9768
22,0.000201,0.1522,0.1313,0.9618,0.7293,0.9227,0.8146,0.9794
23,0.000157,0.1526,0.1609,0.9463,0.6391,0.9392,0.7606,0.9809
24,0.000117,0.1438,0.1474,0.9543,0.6772,0.9503,0.7908,0.9828
25,0.000082,0.1514,0.1250,0.9648,0.7382,0.9503,0.8309,0.9818
26,0.000053,0.1344,0.1233,0.9628,0.7316,0.9337,0.8204,0.9814
27,0.000030,0.1353,0.1330,0.9588,0.7054,0.9392,0.8057,0.9813
28,0.000014,0.1238,0.1437,0.9558,0.6853,0.9503,0.7963,0.9817
29,0.000003,0.1182,0.1399,0.9573,0.6951,0.9448,0.8009,0.9817
30,0.000000,0.1232,0.1401,0.9563,0.6895,0.9448,0.7972,0.9817
