epoch,lr,train_loss,val_loss,accuracy,precision,recall,f1,auc_roc
1,0.000266,0.6918,0.3475,0.9016,0.4435,0.3235,0.3741,0.7382
2,0.000753,0.6291,0.4665,0.8882,0.3846,0.3824,0.3835,0.7344
3,0.001000,0.6003,0.7792,0.6016,0.1622,0.8118,0.2703,0.8184
4,0.000997,0.5623,0.2794,0.9353,0.7168,0.4765,0.5724,0.8616
5,0.000987,0.5155,0.5194,0.7765,0.2669,0.8353,0.4046,0.9045
6,0.000970,0.4313,0.2326,0.9471,0.7591,0.6118,0.6775,0.9082
7,0.000947,0.4214,0.5219,0.7893,0.2934,0.9353,0.4466,0.9433
8,0.000918,0.3833,0.6724,0.7626,0.2638,0.9000,0.4080,0.9231
9,0.000883,0.3364,0.6719,0.7294,0.2407,0.9176,0.3814,0.9384
10,0.000843,0.3138,0.3581,0.8636,0.3924,0.9118,0.5487,0.9538
11,0.000799,0.3515,0.3943,0.8380,0.3506,0.9176,0.5073,0.9449
12,0.000750,0.2465,0.2306,0.9139,0.5161,0.8471,0.6414,0.9455
13,0.000698,0.2965,0.2177,0.9262,0.5635,0.8353,0.6730,0.9527
14,0.000643,0.2443,0.2067,0.9326,0.5873,0.8706,0.7014,0.9614
15,0.000587,0.2657,0.2333,0.9214,0.5404,0.9059,0.6769,0.9644
16,0.000529,0.2130,0.1627,0.9412,0.6271,0.8706,0.7291,0.9622
17,0.000471,0.1915,0.2164,0.9182,0.5302,0.8765,0.6608,0.9558
18,0.000413,0.1960,0.2334,0.9075,0.4952,0.9118,0.6418,0.9655
19,0.000357,0.1741,0.1662,0.9487,0.6568,0.9118,0.7635,0.9724
20,0.000302,0.1641,0.1700,0.9412,0.6210,0.9059,0.7368,0.9759
21,0.000250,0.1741,0.1751,0.9433,0.6301,0.9118,0.7452,0.9758
22,0.000201,0.1496,0.1985,0.9262,0.5567,0.9235,0.6947,0.9742
23,0.000157,0.1486,0.1884,0.9262,0.5563,0.9294,0.6960,0.9761
24,0.000117,0.1388,0.1564,0.9439,0.6316,0.9176,0.7482,0.9765
25,0.000082,0.1389,0.1875,0.9257,0.5540,0.9353,0.6958,0.9772
26,0.000053,0.1214,0.1523,0.9476,0.6500,0.9176,0.7610,0.9778
27,0.000030,0.1094,0.1499,0.9497,0.6610,0.9176,0.7685,0.9780
28,0.000014,0.1197,0.1717,0.9417,0.6206,0.9235,0.7423,0.9786
29,0.000003,0.1227,0.1643,0.9455,0.6382,0.9235,0.7548,0.9789
30,0.000000,0.1316,0.1630,0.9460,0.6408,0.9235,0.7566,0.9790
