epoch,lr,train_loss,val_loss,lung_Dice,lung_IoU
1,0.001000,0.6437,0.1981,0.8500,0.8055
2,0.000970,0.1868,0.1193,0.9077,0.8746
3,0.000883,0.1583,0.1174,0.9100,0.8786
4,0.000750,0.1423,0.1054,0.9142,0.8863
5,0.000587,0.1312,0.1079,0.9169,0.8875
6,0.000414,0.1289,0.0947,0.9267,0.8997
7,0.000251,0.1170,0.0939,0.9211,0.8958
8,0.000117,0.1105,0.0920,0.9260,0.9002
9,0.000030,0.1067,0.0833,0.9317,0.9070
10,0.000000,0.1035,0.0857,0.9296,0.9050
