epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.22085648543304867,0.8352235926522149,0.7334069859319263,0.11794345781207084,0.9085917782783508,0.8395472824573517
2,0.09627567648887635,0.9356865223248799,0.8815702030393813,0.0792822702229023,0.939660439491272,0.8896804690361023
3,0.07260744157764647,0.9532192942831251,0.9124751234054566,0.09660146251320839,0.9332842850685119,0.8778875756263733
4,0.061742673284477655,0.9585581164889866,0.922189496225781,0.07244313672184945,0.9487347364425659,0.9034728169441223
5,0.054275769773456786,0.9630871775415208,0.9301253843307495,0.05442685663700104,0.9620289921760559,0.9274725604057312
6,0.04974245078033871,0.9662359642982483,0.9355946334203085,0.081759013235569,0.9464876365661621,0.8993686294555664
7,0.04253877547052171,0.9702782413694594,0.9429420148001777,0.05248579375445843,0.9639127373695373,0.9310703468322754
8,0.037125680885381165,0.9735258632236057,0.9488605769475301,0.05094883725047111,0.9653256511688233,0.9337285757064819
9,0.03354207843542099,0.9760325519243876,0.9532670254177518,0.06095361530780792,0.9576593255996704,0.920139286518097
10,0.03027896187371678,0.978320779800415,0.9576068252987332,0.04942429654300213,0.9665020942687989,0.9359076738357544
11,0.02930476018951999,0.9789783946673075,0.9588674502902561,0.05269337959587574,0.9633990073204041,0.9301953482627868
12,0.0326761728607946,0.9763674243291219,0.953955721590254,0.050698055922985076,0.9659148621559143,0.9346745800971985
13,0.039406848028302195,0.9718256613943312,0.9459198975563049,0.07153615117073059,0.9495708632469178,0.9053805780410766
14,0.033539315950539376,0.975885739326477,0.9531822019153171,0.05549497231841087,0.9619182872772217,0.9275203657150268
15,0.028742685756749577,0.9793212299876742,0.9595187685224745,0.044559144154191016,0.9700312614440918,0.9421699380874634
16,0.026296280945340793,0.9810181464089288,0.9627752349111769,0.048749537020921704,0.9682437324523926,0.9390110874176025
17,0.024661888405680656,0.9820613423983257,0.9647908957799276,0.04953982293605805,0.9682943105697632,0.9390839624404907
18,0.023287373152044086,0.983036626180013,0.9666666253407796,0.05175519846379757,0.9660862827301026,0.9351670789718628
19,0.0217552823242214,0.9843038582801819,0.9691139573521085,0.0493948545306921,0.9695427536964416,0.9412384843826294
20,0.021298662833869456,0.984455222553677,0.9694103606541952,0.05026365295052528,0.9686447191238403,0.9397556138038635
21,0.020478010819190078,0.9851217754681905,0.9707020441691081,0.055767160952091215,0.9643540263175965,0.9320687556266785
22,0.021290295761492516,0.9845339110162523,0.9695664964781867,0.05569674454629421,0.9666112518310547,0.9359495115280151
23,0.01984400450355477,0.9856624831093682,0.9717515807681614,0.06641588196158409,0.9596030950546265,0.9239833331108094
24,0.018507488999101852,0.9865625717904832,0.9734968664911058,0.07470939308404922,0.9550801634788513,0.9152776551246643
25,0.017463561673131255,0.9872572655147976,0.9748508726225958,0.057448441237211226,0.9689721989631653,0.9401255369186401
26,0.016510734003451134,0.9880928336249457,0.9764770929018657,0.057921749278903006,0.96790771484375,0.9384123778343201
