epoch,lr,train_loss,val_loss,lung_Dice,lung_IoU
1,0.001000,0.6798,0.2374,0.8589,0.8095
2,0.000970,0.2056,0.2731,0.8127,0.7519
3,0.000883,0.1653,0.1373,0.9056,0.8717
4,0.000750,0.1496,0.1381,0.9095,0.8755
5,0.000587,0.1374,0.1256,0.9181,0.8867
6,0.000414,0.1276,0.1205,0.9208,0.8906
7,0.000250,0.1168,0.1178,0.9185,0.8892
8,0.000117,0.1101,0.1161,0.9205,0.8921
9,0.000030,0.1046,0.1103,0.9247,0.8970
10,0.000000,0.1022,0.1097,0.9249,0.8974
