epoch,lr,train_loss,val_loss,accuracy,precision,recall,f1,auc_roc
1,0.000266,0.6635,0.4953,0.8049,0.2465,0.5570,0.3417,0.7685
2,0.000753,0.6459,0.5888,0.6968,0.1835,0.6772,0.2888,0.7707
3,0.001000,0.6119,0.4643,0.8429,0.3064,0.5759,0.4000,0.8187
4,0.000997,0.4985,0.4675,0.7814,0.2587,0.7532,0.3851,0.8377
5,0.000987,0.5167,0.3136,0.9194,0.5469,0.6646,0.6000,0.9018
6,0.000970,0.4026,0.2850,0.9114,0.5085,0.7595,0.6091,0.9246
7,0.000947,0.3663,0.3485,0.8838,0.4262,0.8038,0.5570,0.9228
8,0.000918,0.3412,0.3572,0.8613,0.3715,0.7595,0.4990,0.8889
9,0.000883,0.3408,0.2035,0.9292,0.5822,0.7848,0.6685,0.9461
10,0.000843,0.2797,0.3783,0.8268,0.3349,0.9177,0.4907,0.9516
11,0.000799,0.2867,0.1903,0.9540,0.7438,0.7532,0.7484,0.9460
12,0.000750,0.2882,0.3842,0.8268,0.3326,0.8987,0.4855,0.9466
13,0.000698,0.2419,0.2645,0.9056,0.4882,0.7848,0.6019,0.9318
14,0.000643,0.2269,0.2827,0.8872,0.4387,0.8608,0.5812,0.9533
15,0.000587,0.2420,0.2777,0.8930,0.4533,0.8608,0.5939,0.9467
16,0.000529,0.2053,0.1922,0.9333,0.5921,0.8544,0.6995,0.9565
17,0.000471,0.1782,0.2254,0.9137,0.5156,0.8354,0.6377,0.9592
18,0.000413,0.1752,0.2110,0.9143,0.5167,0.8797,0.6511,0.9676
19,0.000357,0.1928,0.1064,0.9689,0.8611,0.7848,0.8212,0.9688
20,0.000302,0.2026,0.1261,0.9603,0.7697,0.8038,0.7864,0.9710
21,0.000250,0.1555,0.1434,0.9459,0.6584,0.8418,0.7389,0.9720
22,0.000201,0.1617,0.1640,0.9390,0.6150,0.8797,0.7240,0.9683
23,0.000157,0.1701,0.1478,0.9465,0.6570,0.8608,0.7452,0.9690
24,0.000117,0.1359,0.1384,0.9453,0.6479,0.8734,0.7439,0.9741
25,0.000082,0.1400,0.1238,0.9505,0.6856,0.8418,0.7557,0.9728
26,0.000053,0.1233,0.1369,0.9430,0.6398,0.8544,0.7317,0.9709
27,0.000030,0.1207,0.1451,0.9413,0.6308,0.8544,0.7258,0.9705
28,0.000014,0.1084,0.1364,0.9459,0.6584,0.8418,0.7389,0.9712
29,0.000003,0.1284,0.1332,0.9471,0.6650,0.8418,0.7430,0.9715
30,0.000000,0.1211,0.1337,0.9471,0.6650,0.8418,0.7430,0.9715
