epoch,lr,train_loss,val_loss,lung_Dice,lung_IoU
1,0.001000,0.6752,0.2413,0.8486,0.7971
2,0.000970,0.1870,0.1528,0.8933,0.8616
3,0.000883,0.1550,0.1637,0.8752,0.8375
4,0.000750,0.1369,0.1433,0.8946,0.8640
5,0.000587,0.1213,0.1304,0.9055,0.8788
6,0.000414,0.1176,0.1275,0.9044,0.8771
7,0.000250,0.1080,0.1159,0.9147,0.8883
8,0.000117,0.1006,0.1139,0.9147,0.8886
9,0.000030,0.0958,0.1108,0.9179,0.8923
10,0.000000,0.0928,0.1107,0.9182,0.8928
